id,straight_distance,network_distance,weekly_pa,sex,age,ses
909,401,866,333,Female,63,II
910,102,448,285,Female,53,IV
911,169,566,311,Male,47,V
912,98,584,287,Female,71,V
913,271,601,324,Male,49,V
914,137,291,330,Male,59,I
915,357,858,254,Male,54,III
916,356,617,280,Female,54,III
917,517,951,329,Female,45,II
918,510,919,323,Female,70,I
919,381,686,287,Female,43,II
920,824,1285,261,Male,48,IV
921,92,137,327,Male,30,I
922,290,746,263,Male,73,IV
923,64,270,342,Male,36,I
924,530,673,259,Male,74,V
925,298,557,289,Female,48,IV
926,456,743,300,Female,52,I
927,648,999,302,Female,41,III
928,381,637,302,Female,44,V
929,90,224,300,Female,45,V
930,431,631,276,Male,26,III
931,586,1196,334,Female,42,II
932,412,791,276,Female,32,II
933,260,582,272,Male,47,V
934,416,625,263,Male,65,V
935,383,735,260,Female,53,III
936,413,621,321,Female,70,III
937,282,785,270,Male,42,III
938,90,595,344,Male,42,IV
939,399,578,298,Female,42,II
940,132,532,311,Male,28,V
941,39,485,298,Male,56,IV
942,166,482,328,Female,51,II
943,336,588,255,Male,43,III
944,524,805,321,Female,58,IV
945,551,553,323,Male,34,IV
946,142,311,255,Male,58,II
947,401,745,307,Male,44,II
948,844,1233,275,Female,46,I
949,1000,1272,326,Female,49,V
950,66,378,278,Female,50,III
951,688,788,329,Female,50,II
952,436,744,286,Female,51,III
953,475,894,289,Female,46,IV
954,623,1024,267,Male,51,II
955,259,577,245,Female,65,III
956,1000,1498,243,Male,29,II
957,314,380,284,Female,57,IV
958,412,607,293,Male,57,V
959,511,517,260,Male,38,II
960,230,459,285,Male,49,IV
961,202,507,318,Male,45,III
962,279,580,291,Female,47,I
963,283,396,277,Female,62,I
964,162,662,261,Female,65,V
965,325,663,280,Male,60,IV
966,368,546,288,Male,39,V
967,605,767,254,Female,60,V
968,297,456,240,Male,64,V
969,53,526,286,Female,54,IV
970,299,468,356,Male,48,II
971,862,1164,302,Female,69,IV
972,247,528,297,Male,53,II
973,183,716,246,Female,39,III
974,604,921,285,Male,42,V
975,392,642,287,Male,36,V
976,115,590,262,Male,60,III
977,535,769,318,Male,34,III
978,447,1063,224,Male,42,IV
979,646,1167,334,Female,61,II
980,385,884,306,Female,36,IV
981,111,361,269,Female,51,I
982,1000,1471,289,Male,71,II
983,1000,1218,275,Male,49,II
984,343,449,288,Female,50,III
985,176,559,378,Female,33,III
986,161,478,329,Male,62,I
987,668,1080,317,Male,60,I
988,574,873,260,Female,45,IV
989,620,957,230,Male,75,IV
990,657,828,323,Male,54,III
991,220,220,294,Male,57,V
992,302,752,275,Female,64,I
993,162,519,291,Female,76,III
994,231,751,301,Male,35,II
995,176,400,283,Male,54,I
996,191,394,295,Female,31,I
997,197,608,327,Female,53,III
998,101,619,321,Male,72,I
999,126,162,270,Female,53,III
1000,829,1112,273,Male,49,V
1001,815,1165,244,Male,42,III
1002,419,679,304,Male,49,IV
1003,949,1211,261,Female,30,III
1004,439,695,273,Female,54,III
1005,275,536,269,Male,52,IV
1006,223,493,293,Female,39,IV
1007,369,369,304,Male,33,I
1008,288,461,242,Female,44,I
1009,117,309,345,Female,59,V
1010,639,859,261,Female,65,II
1011,549,1102,282,Male,70,III
1012,555,896,236,Male,49,V
1013,422,585,290,Female,47,V
1014,1000,1274,331,Female,56,III
1015,128,342,320,Male,33,I
1016,814,1263,320,Female,36,II
1017,209,627,315,Male,44,III
1018,407,730,291,Female,51,II
1019,383,411,342,Female,54,II
1020,297,592,301,Male,53,V
1021,274,567,304,Male,64,I
1022,293,546,302,Female,59,I
1023,994,1504,282,Female,30,III
1024,968,1110,291,Male,31,III
1025,195,627,298,Female,66,V
1026,407,636,306,Female,50,II
1027,598,667,309,Female,36,V
1028,278,617,357,Female,37,IV
1029,332,422,264,Male,52,V
1030,253,556,258,Female,58,III
1031,876,1124,259,Female,49,II
1032,639,913,288,Male,81,II
1033,1000,1164,345,Male,49,II
1034,170,405,280,Male,40,III
1035,563,664,250,Male,57,I
1036,440,667,281,Male,55,I
1037,565,910,267,Male,56,III
1038,367,713,287,Male,33,V
1039,871,1102,233,Female,45,V
1040,231,527,267,Female,50,I
1041,326,743,244,Male,42,V
1042,332,332,263,Female,49,III
1043,542,908,278,Female,31,II
1044,283,658,280,Male,35,I
1045,221,619,237,Male,40,V
1046,735,1127,291,Female,51,III
1047,203,232,289,Female,49,V
1048,643,1080,320,Male,70,I
1049,384,931,296,Male,36,I
1050,236,685,282,Female,36,IV
1051,304,809,264,Male,34,III
1052,397,829,300,Male,45,IV
1053,178,235,313,Male,39,IV
1054,283,601,303,Female,49,II
1055,756,1078,301,Male,31,II
1056,66,379,298,Male,65,I
1057,298,733,366,Male,55,IV
1058,307,467,242,Male,69,V
1059,411,456,295,Female,61,III
1060,264,671,332,Female,59,II
1061,324,739,291,Male,60,II
1062,421,608,308,Female,64,V
1063,486,735,235,Female,55,III
1064,447,447,279,Male,50,IV
1065,1000,1283,267,Male,39,IV
1066,331,694,315,Female,47,IV
1067,199,565,276,Female,33,V
1068,288,535,272,Male,45,IV
1069,243,566,229,Male,55,III
1070,631,867,303,Male,62,IV
1071,330,728,301,Female,56,III
1072,197,643,347,Female,50,III
1073,324,324,265,Female,59,V
1074,915,1142,273,Male,50,V
1075,104,573,253,Female,54,III
1076,771,1203,264,Female,64,I
1077,415,826,262,Female,45,IV
1078,211,454,320,Female,54,II
1079,190,238,303,Female,44,III
1080,327,475,332,Female,55,I
1081,189,189,288,Male,27,V
1082,423,689,316,Female,51,IV
1083,593,793,367,Male,52,II
1084,488,1044,241,Male,53,II
1085,718,1164,253,Male,37,IV
1086,127,479,256,Female,37,I
1087,91,346,270,Male,63,I
1088,272,668,285,Female,34,II
1089,205,380,261,Male,36,I
1090,115,252,293,Male,54,IV
1091,563,1039,239,Male,27,V
1092,210,621,314,Male,50,I
1093,161,509,306,Male,31,V
1094,421,598,307,Male,50,III
1095,395,720,278,Female,51,V
1096,474,877,300,Male,31,V
1097,152,321,316,Female,64,I
1098,1000,1259,315,Female,54,IV
1099,397,464,317,Female,47,IV
1100,216,608,279,Male,53,II
1101,65,208,307,Male,40,I
1102,415,554,310,Male,58,V
1103,176,467,288,Female,66,III
1104,187,330,317,Male,38,I
1105,93,186,261,Female,52,IV
1106,98,152,291,Male,70,II
1107,75,464,299,Male,50,II
1108,479,862,309,Female,62,IV
1109,207,415,296,Male,44,III
1110,249,725,298,Male,52,I
1111,354,596,263,Female,28,V
1112,134,663,279,Male,39,I
1113,91,166,258,Female,47,V
1114,169,405,270,Male,41,III
1115,101,502,311,Female,57,III
1116,339,439,249,Male,53,IV
1117,98,430,305,Female,51,II
1118,349,481,277,Male,55,III
1119,388,498,255,Male,58,V
1120,215,416,289,Female,42,IV
1121,162,422,297,Male,45,IV
1122,1000,1226,278,Male,50,III
1123,870,981,315,Male,47,V
1124,105,349,285,Male,79,III
1125,186,497,283,Male,61,IV
1126,365,595,261,Male,75,V
1127,358,576,272,Male,41,II
1128,622,947,321,Female,50,I
1129,261,397,314,Female,34,IV
1130,388,562,334,Male,31,III
1131,224,574,303,Male,54,II
1132,303,633,333,Female,49,IV
1133,189,460,328,Male,38,IV
1134,250,500,309,Male,74,III
1135,151,285,287,Male,55,III
1136,351,654,259,Male,54,V
1137,421,825,286,Female,48,I
1138,214,642,338,Male,48,IV
1139,106,376,306,Male,24,I
1140,310,551,288,Male,31,IV
1141,77,321,308,Male,49,II
1142,474,715,273,Female,43,IV
1143,86,301,298,Male,45,IV
1144,426,666,312,Male,60,I
1145,365,546,266,Female,49,II
1146,239,339,230,Female,35,I
1147,261,437,274,Female,71,III
1148,180,525,306,Female,27,II
1149,176,654,348,Male,18,III
1150,593,865,269,Female,57,IV
1151,220,476,298,Female,41,II
1152,170,499,279,Female,67,I
1153,149,471,247,Male,38,IV
1154,130,145,327,Male,49,I
1155,173,504,285,Female,48,III
1156,209,594,273,Female,49,I
1157,107,518,317,Male,50,I
1158,222,508,292,Female,59,II
1159,147,783,362,Female,34,III
1160,537,772,296,Male,68,II
1161,262,379,331,Male,58,I
1162,190,656,280,Male,74,V
1163,769,940,240,Female,49,II
1164,184,414,293,Male,51,III
1165,1000,1566,239,Male,41,III
1166,170,170,287,Male,50,III
1167,554,625,312,Male,72,V
1168,130,579,342,Female,48,III
1169,141,338,296,Female,54,I
1170,272,803,260,Female,45,III
1171,249,441,321,Female,52,V
1172,319,683,296,Male,25,IV
1173,531,634,249,Male,64,III
1174,869,1188,256,Female,49,IV
1175,1000,1177,296,Female,59,I
1176,547,808,276,Male,63,III
1177,332,496,293,Female,64,II
1178,151,439,270,Male,47,IV
1179,200,519,272,Male,49,IV
1180,371,371,283,Female,48,II
1181,407,735,308,Male,31,V
1182,214,477,296,Male,60,V
1183,42,184,277,Male,68,II
1184,508,852,249,Male,60,II
1185,203,456,332,Female,52,II
1186,141,630,301,Male,42,I
1187,222,655,236,Male,51,II
1188,218,218,370,Male,65,I
1189,152,152,325,Female,22,I
1190,452,974,249,Male,50,III
1191,261,477,282,Female,48,III
1192,373,886,237,Male,40,IV
1193,428,657,290,Male,60,I
1194,474,904,311,Male,46,II
1195,437,743,299,Male,58,II
1196,190,458,284,Female,39,V
1197,168,445,271,Female,39,III
1198,455,778,304,Male,45,IV
1199,241,615,295,Male,35,II
1200,145,635,243,Male,65,III
1201,392,817,287,Female,39,I
1202,122,406,241,Male,59,V
1203,209,398,272,Female,46,I
1204,50,560,296,Female,71,IV
1205,200,466,301,Male,70,IV
1206,324,674,276,Male,57,I
1207,248,558,302,Male,31,I
1208,286,534,248,Female,37,I
1209,67,323,296,Female,54,IV
1210,173,583,308,Female,65,IV
1211,313,473,222,Male,47,V
1212,115,266,323,Male,42,III
1213,171,368,236,Male,44,V
1214,95,256,281,Male,41,V
1215,109,535,310,Female,51,IV
1216,367,734,274,Female,43,V
1217,407,725,311,Male,52,I
1218,90,614,259,Female,48,V
1219,433,641,327,Female,58,V
1220,231,395,281,Male,76,III
1221,145,344,354,Male,52,IV
1222,1000,1244,255,Male,48,III
1223,200,399,275,Female,27,III
1224,692,893,316,Male,54,III
1225,124,570,344,Female,37,I
1226,185,540,309,Male,48,III
1227,501,882,306,Female,57,IV
1228,1000,1095,292,Female,50,II
1229,349,804,293,Male,52,IV
1230,100,356,293,Female,27,II
1231,148,399,282,Male,44,II
1232,493,931,272,Male,41,II
1233,376,684,290,Female,46,II
1234,322,730,257,Male,57,I
1235,194,249,257,Female,41,V
1236,522,779,259,Male,66,I
1237,413,677,264,Male,55,I
1238,346,672,249,Female,50,II
1239,208,819,310,Male,46,III
1240,193,849,278,Female,71,III
1241,500,802,261,Male,53,II
1242,85,377,317,Female,56,II
1243,135,689,294,Female,56,III
1244,215,321,303,Male,41,V
1245,233,656,326,Female,76,V
1246,568,1100,316,Female,41,I
1247,288,873,284,Male,71,III
1248,548,974,296,Male,48,V
1249,1000,1202,336,Male,48,V
1250,253,375,346,Male,49,III
1251,546,937,278,Male,39,III
1252,406,668,272,Male,40,I
1253,281,554,337,Female,47,IV
1254,254,427,287,Female,46,I
1255,167,393,308,Female,42,IV
1256,917,1292,349,Male,40,IV
1257,164,429,298,Male,62,V
1258,814,1089,262,Male,37,III
1259,174,272,292,Female,54,III
1260,302,787,273,Female,68,IV
1261,124,490,338,Female,51,III
1262,285,498,329,Male,46,I
1263,137,722,305,Male,42,II
1264,309,502,330,Male,53,III
1265,265,492,306,Female,43,V
1266,276,276,293,Female,58,V
1267,643,964,305,Female,53,V
1268,183,485,301,Female,57,IV
1269,312,361,283,Male,50,III
1270,544,922,238,Female,55,IV
1271,870,1359,307,Female,63,IV
1272,702,1026,265,Female,57,V
1273,105,220,282,Male,46,II
1274,964,964,296,Female,39,II
1275,588,792,243,Female,55,II
1276,211,278,315,Female,49,II
1277,457,682,260,Male,58,I
1278,1000,1244,256,Female,32,III
1279,250,391,288,Male,50,IV
1280,116,247,358,Female,58,III
1281,475,991,282,Female,47,III
1282,136,712,322,Female,49,II
1283,243,483,263,Male,52,I
1284,250,553,309,Female,49,I
1285,221,416,289,Male,37,IV
1286,353,621,277,Male,28,V
1287,134,305,338,Female,44,I
1288,711,1263,301,Female,74,I
1289,61,624,344,Female,38,IV
1290,393,799,227,Male,40,III
1291,374,755,333,Female,38,II
1292,111,429,291,Male,73,II
1293,75,314,254,Female,55,IV
1294,154,304,278,Female,70,I
1295,86,362,283,Male,67,II
1296,231,411,271,Female,33,II
1297,264,639,297,Female,45,I
1298,66,176,290,Male,60,V
1299,696,1159,269,Female,53,I
1300,292,792,302,Female,49,III
1301,383,459,268,Male,56,I
1302,399,884,333,Male,34,III
1303,170,475,281,Male,43,IV
1304,194,473,314,Male,48,IV
1305,137,543,250,Female,44,IV
1306,579,685,263,Male,61,II
1307,353,462,328,Female,48,III
1308,406,897,261,Male,46,IV
1309,110,329,319,Female,53,II
1310,838,980,283,Female,55,IV
1311,294,766,276,Female,52,IV
1312,336,451,278,Male,42,I
1313,131,353,271,Male,65,V
1314,182,549,289,Male,53,III
1315,1000,1378,237,Female,38,II
1316,608,953,257,Female,75,IV
1317,932,1151,276,Male,41,IV
1318,272,756,319,Female,37,II
1319,609,1095,275,Female,37,V
1320,159,169,314,Female,59,V
1321,35,330,306,Male,36,II
1322,229,557,284,Female,50,II
1323,423,682,293,Female,59,I
1324,472,579,252,Male,37,II
1325,202,355,293,Male,46,I
1326,335,492,321,Female,40,IV
1327,107,253,324,Female,59,II
1328,82,190,271,Male,64,IV
1329,288,509,244,Female,51,III
1330,453,837,259,Male,70,III
1331,490,780,305,Male,28,I
1332,165,420,268,Female,63,IV
1333,208,384,288,Male,42,IV
1334,324,682,353,Female,47,IV
1335,289,780,266,Female,61,II
1336,673,989,264,Male,47,II
1337,240,669,281,Female,39,III
1338,262,499,334,Male,43,II
1339,519,926,314,Male,47,V
1340,194,194,291,Male,38,II
1341,226,485,324,Female,36,IV
1342,596,942,296,Female,55,IV
1343,361,417,307,Male,49,V
1344,155,155,308,Male,61,I
1345,146,319,327,Female,39,IV
1346,422,918,300,Male,74,V
1347,1000,1201,228,Male,33,IV
1348,106,563,281,Male,29,II
1349,165,322,314,Male,66,IV
1350,400,742,269,Male,42,V
1351,247,634,318,Female,64,II
1352,286,688,313,Male,58,IV
1353,656,656,279,Female,44,I
1354,122,276,251,Female,63,I
1355,149,359,324,Female,38,III
1356,253,595,254,Male,40,V
1357,670,716,298,Female,62,V
1358,55,465,279,Male,59,II
1359,315,569,316,Female,25,IV
1360,326,326,282,Female,55,V
1361,133,281,309,Female,48,III
1362,145,145,288,Male,50,IV
1363,145,534,274,Female,38,III
1364,236,353,309,Male,71,V
1365,276,861,312,Female,65,IV
1366,532,758,261,Male,43,V
1367,757,891,344,Female,41,V
1368,273,789,239,Female,61,II
1369,158,733,274,Female,45,III
1370,287,702,297,Male,55,IV
1371,315,538,287,Male,59,III
1372,287,510,288,Male,65,IV
1373,183,539,227,Female,48,III
1374,275,655,289,Male,34,III
1375,333,594,303,Male,48,II
1376,258,392,335,Male,34,I
1377,252,585,273,Female,45,III
1378,161,161,368,Female,57,I
1379,1000,1280,295,Male,60,III
1380,303,937,243,Female,30,III
1381,105,345,229,Male,48,IV
1382,388,693,264,Male,46,IV
1383,946,1158,292,Female,61,V
1384,242,441,341,Female,58,II
1385,100,391,309,Male,64,II
1386,98,549,250,Female,51,III
1387,441,618,282,Female,36,V
1388,583,1012,315,Male,49,II
1389,175,179,234,Male,56,IV
1390,320,650,289,Female,54,III
1391,213,360,300,Female,45,IV
1392,336,884,250,Female,20,II
1393,172,311,268,Male,79,V
1394,569,938,235,Male,36,II
1395,409,629,257,Male,29,IV
1396,691,1000,294,Male,40,IV
1397,312,875,217,Female,44,IV
1398,654,844,283,Male,51,IV
1399,828,1048,296,Male,63,I
1400,245,343,297,Female,38,II
1401,126,373,295,Male,81,V
1402,527,775,308,Male,77,II
1403,118,353,281,Female,65,I
1404,261,584,264,Female,39,V
1405,198,419,267,Male,51,II
1406,458,877,244,Female,42,V
1407,590,636,248,Male,31,I
1408,598,850,293,Female,49,I
1409,72,288,306,Female,62,IV
1410,360,843,275,Female,51,II
1411,490,955,281,Female,40,V
1412,1000,1289,263,Male,38,V
1413,623,927,240,Female,38,I
1414,238,735,361,Female,43,IV
1415,213,580,269,Male,35,III
1416,136,514,313,Male,57,IV
1417,186,408,289,Female,36,I
1418,326,527,272,Male,60,V
1419,88,556,302,Female,52,I
1420,460,553,288,Female,49,II
1421,235,369,263,Male,44,IV
1422,784,970,225,Male,61,II
1423,219,506,255,Male,56,IV
1424,79,359,339,Female,58,IV
1425,306,494,313,Male,44,III
1426,469,694,247,Male,26,V
1427,145,344,342,Male,47,I
1428,221,368,233,Male,63,I
1429,667,1014,321,Female,53,I
1430,154,271,332,Female,55,I
1431,432,779,277,Male,50,V
1432,730,834,328,Male,34,IV
1433,498,720,260,Male,57,IV
1434,551,775,300,Male,30,III
1435,169,468,257,Female,47,V
1436,429,798,253,Female,54,I
1437,479,812,272,Female,49,I
1438,217,486,275,Female,57,I
1439,344,772,263,Male,51,III
1440,180,422,234,Male,65,V
1441,131,354,297,Male,51,IV
1442,528,853,281,Male,72,V
1443,90,436,242,Male,44,IV
1444,175,515,299,Female,48,IV
1445,227,531,263,Female,52,IV
1446,396,645,281,Male,40,V
1447,186,476,328,Male,41,I
1448,606,762,318,Female,57,II
1449,469,875,336,Female,66,II
1450,678,1096,294,Male,55,V
1451,225,685,311,Female,35,III
1452,390,816,337,Male,32,I
1453,319,846,249,Male,46,V
1454,126,151,270,Female,67,I
1455,694,1209,261,Male,52,II
1456,211,311,349,Male,66,V
1457,241,727,357,Male,71,I
1458,148,534,293,Male,38,V
1459,203,631,324,Male,55,III
1460,631,1020,274,Male,60,V
1461,332,452,338,Male,40,I
1462,143,603,262,Male,48,II
1463,96,330,256,Male,66,IV
1464,809,1102,303,Male,43,V
1465,285,723,294,Male,72,II
1466,361,591,291,Male,51,III
1467,261,594,330,Female,36,I
1468,445,842,284,Male,50,IV
1469,160,553,268,Female,37,IV
1470,205,422,277,Male,46,II
1471,1000,1233,296,Female,47,V
1472,158,687,342,Female,39,IV
1473,284,630,304,Male,55,IV
1474,211,575,253,Female,42,II
1475,371,976,244,Female,59,I
1476,499,874,274,Female,67,IV
1477,469,794,353,Male,38,I
1478,297,760,323,Female,68,V
1479,895,1099,293,Male,64,II
1480,277,727,276,Female,42,I
1481,414,793,284,Female,59,II
1482,390,783,299,Male,50,I
1483,425,736,275,Female,61,V
1484,315,504,282,Female,59,II
1485,235,826,246,Male,41,I
1486,181,852,318,Female,37,I
1487,352,584,301,Male,41,III
1488,173,401,327,Male,37,II
1489,716,1120,307,Female,53,IV
1490,114,337,319,Male,40,V
1491,70,208,326,Male,52,I
1492,512,785,317,Female,54,IV
1493,397,1066,229,Female,53,I
1494,256,444,305,Female,51,I
1495,161,764,228,Female,53,II
1496,1000,1625,266,Male,70,IV
1497,154,382,310,Female,42,V
1498,394,556,258,Male,34,III
1499,296,570,296,Male,61,IV
1500,673,1155,292,Female,61,V
1501,322,649,274,Female,50,I
1502,521,911,281,Female,53,I
1503,313,542,313,Male,39,IV
1504,76,474,325,Male,50,V
1505,310,665,340,Female,47,IV
1506,301,746,285,Female,51,IV
1507,224,323,330,Female,71,V
1508,103,267,247,Male,56,I
1509,279,435,314,Female,18,III
1510,97,321,318,Male,44,IV
1511,264,609,330,Male,56,II
1512,515,930,253,Female,67,I
1513,444,717,277,Male,35,I
1514,1000,1338,238,Female,59,V
1515,204,382,334,Male,54,III
1516,929,1206,254,Female,46,I
1517,189,407,281,Female,42,IV
1518,206,827,276,Female,38,V
1519,902,1333,262,Female,54,V
1520,399,582,330,Male,42,V
1521,1000,1271,243,Male,41,III
1522,155,511,240,Male,42,V
1523,585,689,348,Female,45,III
1524,306,632,280,Female,34,V
1525,222,593,346,Male,42,III
1526,138,625,342,Female,40,IV
1527,177,318,292,Female,53,IV
1528,1000,1477,267,Male,69,III
1529,126,540,345,Male,43,III
1530,929,1226,265,Male,45,I
1531,250,676,302,Male,19,III
1532,164,478,305,Male,42,II
1533,325,469,306,Female,55,II
1534,1000,1158,259,Male,46,V
1535,1000,1249,269,Female,39,III
1536,405,837,298,Female,58,III
1537,447,950,295,Female,62,V
1538,258,515,305,Female,40,IV
1539,127,331,324,Female,42,II
1540,227,705,276,Male,39,IV
1541,89,347,268,Female,65,V
1542,507,1115,304,Female,70,I
1543,327,455,278,Female,49,V
1544,163,496,364,Female,44,III
1545,551,672,235,Female,56,II
1546,449,582,339,Female,77,IV
1547,212,638,266,Male,55,II
1548,307,490,300,Female,58,I
1549,343,767,277,Female,42,III
1550,1000,1415,236,Female,49,I
1551,253,394,292,Female,56,II
1552,298,862,292,Male,46,V
1553,351,876,250,Female,53,V
1554,319,717,285,Female,49,II
1555,420,650,322,Male,43,IV
1556,1000,1464,284,Female,52,V
1557,518,1079,259,Female,49,III
1558,597,801,313,Male,54,III
1559,732,1012,304,Male,42,II
1560,221,589,301,Male,48,V
1561,497,777,254,Female,66,V
1562,228,764,305,Male,57,II
1563,220,327,328,Male,43,I
1564,322,575,257,Female,57,III
1565,107,262,276,Female,42,V
1566,175,221,353,Male,44,II
1567,531,717,265,Male,56,I
1568,468,623,281,Male,38,IV
1569,127,622,288,Male,47,V
1570,148,458,296,Male,78,III
1571,137,487,261,Male,51,IV
1572,417,724,314,Female,34,I
1573,270,440,290,Female,60,II
1574,229,339,285,Female,65,II
1575,575,821,309,Male,57,III
1576,336,936,329,Male,46,IV
1577,154,509,300,Male,51,I
1578,232,838,257,Female,36,I
1579,499,722,281,Male,67,IV
1580,60,360,289,Female,68,III
1581,634,750,317,Male,49,V
1582,206,588,264,Female,37,V
1583,467,557,292,Male,57,V
1584,177,457,306,Male,53,II
1585,266,528,262,Male,52,V
1586,322,613,307,Male,72,IV
1587,185,469,325,Male,49,III
1588,612,997,255,Female,50,III
1589,531,830,319,Female,57,V
1590,304,411,332,Female,46,IV
1591,425,781,287,Male,55,I
1592,598,1041,295,Male,48,IV
1593,196,256,275,Female,53,I
1594,453,559,308,Female,59,V
1595,256,485,281,Female,49,V
1596,303,494,310,Female,44,IV
1597,633,705,290,Male,48,I
1598,268,380,233,Male,70,II
1599,304,693,250,Female,62,III
1600,173,321,302,Male,52,II
1601,311,564,296,Male,41,IV
1602,464,669,317,Male,80,III
1603,251,404,306,Female,63,V
1604,397,791,334,Female,46,I
1605,755,958,311,Male,50,IV
1606,238,399,251,Female,60,IV
1607,216,505,278,Male,59,V
1608,237,526,265,Male,50,IV
1609,479,587,203,Female,55,IV
1610,245,371,288,Male,44,II
1611,699,745,265,Female,48,IV
1612,438,883,268,Male,44,I
1613,1000,1074,298,Female,66,IV
1614,311,500,292,Male,33,II
1615,207,587,311,Male,48,I
1616,148,410,296,Male,45,I
1617,1000,1414,290,Male,35,I
1618,176,394,281,Male,53,III
1619,1000,1490,324,Female,41,V
1620,348,579,337,Male,54,V
1621,201,350,270,Male,48,IV
1622,577,733,274,Male,56,III
1623,195,780,281,Female,52,I
1624,523,1329,334,Male,29,III
1625,250,599,273,Male,64,V
1626,570,749,258,Male,36,II
1627,239,239,266,Male,75,I
1628,178,279,277,Male,39,II
1629,180,293,301,Female,45,I
1630,563,745,235,Female,31,V
1631,208,382,359,Male,60,IV
1632,696,948,262,Female,64,I
1633,440,619,294,Female,44,V
1634,576,792,254,Female,45,II
1635,408,426,340,Female,56,III
1636,386,538,341,Female,38,I
1637,520,730,227,Male,54,IV
1638,201,535,283,Male,39,IV
1639,436,754,266,Male,55,I
1640,520,847,268,Female,39,III
1641,555,823,346,Female,33,I
1642,432,522,289,Male,56,V
1643,210,526,298,Female,65,I
1644,730,1012,259,Female,49,II
1645,62,362,269,Female,37,III
1646,402,698,282,Female,38,I
1647,500,999,280,Male,49,II
1648,253,674,278,Female,41,III
1649,230,626,294,Female,70,II
1650,336,660,265,Female,41,IV
1651,338,735,340,Female,55,V
1652,226,704,316,Female,44,V
1653,186,494,250,Male,53,I
1654,447,699,280,Female,44,V
1655,229,631,269,Female,64,I
1656,284,446,288,Female,45,V
1657,119,163,312,Female,43,V
1658,616,1121,262,Female,52,V
1659,229,282,350,Male,75,II
1660,379,614,323,Female,56,II
1661,193,288,327,Male,78,III
1662,94,544,283,Male,48,I
1663,400,632,299,Male,51,III
1664,1000,1262,322,Female,59,IV
1665,291,532,274,Male,58,IV
1666,343,603,304,Female,54,IV
1667,119,390,263,Male,50,V
1668,577,748,318,Male,43,IV
1669,240,678,271,Male,47,IV
1670,249,775,321,Male,42,II
1671,265,490,277,Male,67,IV
1672,290,779,261,Male,46,II
1673,612,976,300,Female,41,IV
1674,415,748,264,Female,65,I
1675,284,626,283,Male,53,I
1676,484,958,289,Female,67,V
1677,392,500,287,Female,53,V
1678,311,696,307,Male,26,III
1679,184,529,275,Male,42,II
1680,617,1201,207,Female,40,III
1681,177,394,256,Female,18,V
1682,550,873,292,Female,67,I
1683,742,991,326,Female,72,III
1684,753,1116,272,Male,38,V
1685,449,716,277,Male,49,V
1686,204,541,334,Male,55,II
1687,127,488,282,Male,57,III
1688,640,801,350,Female,47,IV
1689,378,442,314,Male,39,II
1690,89,384,292,Female,54,IV
1691,287,514,310,Female,52,III
1692,189,330,280,Male,37,II
1693,350,783,269,Female,59,III
1694,728,932,320,Male,49,I
1695,253,453,267,Female,51,II
1696,266,733,317,Male,48,II
1697,411,858,285,Female,29,I
1698,417,538,315,Female,54,I
1699,322,825,309,Female,69,I
1700,669,795,249,Female,43,V
1701,180,587,301,Male,38,I
1702,988,1282,243,Female,58,III
1703,419,638,249,Female,22,III
1704,188,408,275,Female,26,III
1705,223,495,282,Female,57,I
1706,1000,1217,330,Male,72,I
1707,318,825,285,Male,43,IV
1708,1000,1315,310,Male,41,IV
1709,289,517,294,Male,36,I
1710,238,448,262,Female,42,IV
1711,566,845,269,Male,41,IV
1712,223,591,282,Male,47,II
1713,237,534,275,Female,38,V
1714,118,647,314,Female,60,IV
1715,769,1036,275,Female,50,IV
1716,92,459,314,Female,43,I
1717,339,598,286,Female,52,IV
1718,181,567,323,Female,62,I
1719,114,248,346,Male,60,II
1720,247,457,284,Male,57,V
1721,1000,1479,287,Female,47,III
1722,451,758,306,Female,51,II
1723,480,923,303,Female,48,II
1724,222,547,302,Female,27,II
1725,909,1344,280,Female,58,II
1726,501,501,284,Male,40,II
1727,640,871,313,Female,55,III
1728,238,643,306,Female,52,III
1729,135,399,333,Male,48,V
1730,426,771,322,Female,56,III
1731,135,751,299,Male,51,IV
1732,88,603,284,Male,54,V
1733,292,292,317,Female,54,IV
1734,342,600,290,Male,75,I
1735,301,544,297,Male,67,II
1736,274,663,236,Male,43,II
1737,495,749,269,Female,68,IV
1738,476,698,275,Female,44,III
1739,275,422,297,Female,47,IV
1740,351,473,330,Male,35,II
1741,1000,1288,310,Female,61,I
1742,185,643,304,Female,50,I
1743,547,1086,325,Female,60,II
1744,89,520,291,Male,62,III
1745,145,155,344,Male,49,IV
1746,191,191,263,Female,50,IV
1747,249,961,299,Female,65,III
1748,372,581,324,Female,77,II
1749,296,617,276,Male,42,III
1750,101,254,330,Female,50,II
1751,116,446,266,Male,67,III
1752,355,557,275,Male,56,V
1753,461,875,307,Female,43,IV
1754,392,838,310,Female,43,IV
1755,111,324,304,Female,72,III
1756,1000,1024,298,Male,51,III
1757,276,493,316,Female,36,III
1758,705,1046,296,Male,32,V
1759,1000,1423,272,Female,51,III
1760,320,524,295,Male,57,I
1761,413,830,286,Female,45,V
1762,348,541,345,Female,63,I
1763,351,794,315,Female,41,I
1764,381,593,276,Male,53,III
1765,621,737,294,Male,35,IV
1766,282,344,233,Male,33,II
